ISBN,Title,Author,Stock
10524,Site Reliability Advanced 7,Betsy Beyer,25
10525,Cloud Native Java Advanced 7,Josh Long,24
10526,Flask Web Dev Advanced 7,Miguel Grinberg,94
10527,Deep Learning Advanced 7,Ian Goodfellow,15
10528,Machine Learning Advanced 7,Aurelien Geron,87
10529,Grokking Algorithms Advanced 7,Aditya Bhargava,96
10530,Linux Command Line Advanced 7,William Shotts,44
10531,Pro Git Advanced 7,Scott Chacon,19
10532,UNIX Network Prog Advanced 7,Richard Stevens,46
10533,Programming Pearls Advanced 7,Jon Bentley,66
10534,Black Hat Python Advanced 7,Justin Seitz,82
10535,Pattern Recognition Advanced 7,Christopher Bishop,25
10536,Artificial Intelligence Advanced 7,Stuart Russell,11
10537,The Prince Advanced 7,Niccolo Machiavelli,36
10538,Pride and Prejudice Advanced 7,Jane Austen,77
10539,Animal Farm Advanced 7,George Orwell,79
10540,Great Gatsby Advanced 7,F Scott Fitzgerald,81
10541,Harry Potter One Advanced 7,JK Rowling,34
10542,Game of Thrones Advanced 7,George RR Martin,5
10543,The Hobbit Advanced 7,JRR Tolkien,66
10544,Atomic Habits Advanced 7,James Clear,16
10545,Deep Work Advanced 7,Cal Newport,68
10546,Computer Graphics Advanced 7,Donald Hearn,54
10547,Compiler Design Advanced 7,Alfred Aho,38
10548,Cryptography Advanced 7,Bruce Schneier,1
10549,Network Security Advanced 7,William Stallings,7
10550,Discrete Mathematics Advanced 7,Kenneth Rosen,47
10551,Linear Algebra Advanced 7,Gilbert Strang,26
10552,Calculus Advanced 7,James Stewart,69
10553,Computer Vision Advanced 7,Richard Szeliski,76
10554,Reinforcement Learning Advanced 7,Richard Sutton,48
10555,Distributed Systems Advanced 7,Maarten van Steen,8
10556,Software Engineering Advanced 7,Ian Sommerville,25
10557,Data Mining Advanced 7,Jiawei Han,86
10558,Cloud Computing Advanced 7,Rajkumar Buyya,68
10559,Operating Systems Advanced 7,Thomas Anderson,6
10560,C Programming Fundamentals 8,Brian Kernighan,68
10561,Art of Comp Prog Fundamentals 8,Donald Knuth,41
10562,Intro to Algorithms Fundamentals 8,Thomas Cormen,85
10563,Clean Code Fundamentals 8,Robert Martin,24
10564,Design Patterns Fundamentals 8,Erich Gamma,60
10565,Effective Java Fundamentals 8,Joshua Bloch,60
10566,Pragmatic Programmer Fundamentals 8,Andrew Hunt,52
10567,Building Microservices Fundamentals 8,Sam Newman,77
10568,OS Concepts Fundamentals 8,Abraham Silberschatz,17
10569,Learning Python Fundamentals 8,Mark Lutz,30
10570,Head First Java Fundamentals 8,Kathy Sierra,6
10571,Computer Networks Fundamentals 8,Andrew Tanenbaum,88
10572,Database Concepts Fundamentals 8,Abraham Silberschatz,44
10573,Domain Driven Design Fundamentals 8,Eric Evans,77
10574,Mythical Man Month Fundamentals 8,Fred Brooks,18
10575,Data Science Fundamentals 8,Joel Grus,51
10576,Algorithms Fundamentals 8,Robert Sedgewick,64
10577,Python Crash Course Fundamentals 8,Eric Matthes,84
10578,Core Java Fundamentals 8,Cay Horstmann,25
10579,Learning Node Fundamentals 8,Shelley Powers,65
10580,Fluent Python Fundamentals 8,Luciano Ramalho,23
10581,Rust Programming Fundamentals 8,Jim Blandy,54
10582,Go Programming Fundamentals 8,Alan Donovan,100
10583,Spring in Action Fundamentals 8,Craig Walls,80
10584,Learning Go Fundamentals 8,Jon Bodner,67
10585,Designing Data Apps Fundamentals 8,Martin Kleppmann,48
10586,Effective C Plus Fundamentals 8,Scott Meyers,84
10587,Eloquent JavaScript Fundamentals 8,Marijn Haverbeke,52
10588,Clean Coder Fundamentals 8,Robert Martin,33
10589,Refactoring Fundamentals 8,Martin Fowler,43
10590,Clean Architecture Fundamentals 8,Robert Martin,42
10591,Docker Up Fundamentals 8,Karl Matthias,20
10592,Kubernetes Up Fundamentals 8,Brendan Burns,76
10593,Code Complete Fundamentals 8,Steve McConnell,20
10594,Site Reliability Fundamentals 8,Betsy Beyer,7
10595,Cloud Native Java Fundamentals 8,Josh Long,95
10596,Flask Web Dev Fundamentals 8,Miguel Grinberg,24
10597,Deep Learning Fundamentals 8,Ian Goodfellow,21
10598,Machine Learning Fundamentals 8,Aurelien Geron,18
10599,Grokking Algorithms Fundamentals 8,Aditya Bhargava,48
10600,Linux Command Line Fundamentals 8,William Shotts,51
10601,Pro Git Fundamentals 8,Scott Chacon,14
10602,UNIX Network Prog Fundamentals 8,Richard Stevens,62
10603,Programming Pearls Fundamentals 8,Jon Bentley,7
10604,Black Hat Python Fundamentals 8,Justin Seitz,65
10605,Pattern Recognition Fundamentals 8,Christopher Bishop,81
10606,Artificial Intelligence Fundamentals 8,Stuart Russell,75
10607,The Prince Fundamentals 8,Niccolo Machiavelli,99
10608,Pride and Prejudice Fundamentals 8,Jane Austen,3
10609,Animal Farm Fundamentals 8,George Orwell,79
10610,Great Gatsby Fundamentals 8,F Scott Fitzgerald,53
10611,Harry Potter One Fundamentals 8,JK Rowling,100
10612,Game of Thrones Fundamentals 8,George RR Martin,77
10613,The Hobbit Fundamentals 8,JRR Tolkien,76
10614,Atomic Habits Fundamentals 8,James Clear,10
10615,Deep Work Fundamentals 8,Cal Newport,33
10616,Computer Graphics Fundamentals 8,Donald Hearn,6
10617,Compiler Design Fundamentals 8,Alfred Aho,85
10618,Cryptography Fundamentals 8,Bruce Schneier,24
10619,Network Security Fundamentals 8,William Stallings,36
10620,Discrete Mathematics Fundamentals 8,Kenneth Rosen,89
10621,Linear Algebra Fundamentals 8,Gilbert Strang,88
10622,Calculus Fundamentals 8,James Stewart,39
10623,Computer Vision Fundamentals 8,Richard Szeliski,61
10624,Reinforcement Learning Fundamentals 8,Richard Sutton,86
10625,Distributed Systems Fundamentals 8,Maarten van Steen,83
10626,Software Engineering Fundamentals 8,Ian Sommerville,69
10627,Data Mining Fundamentals 8,Jiawei Han,86
10628,Cloud Computing Fundamentals 8,Rajkumar Buyya,63
10629,Operating Systems Fundamentals 8,Thomas Anderson,3
10630,C Programming Workbook 9,Brian Kernighan,9
10631,Art of Comp Prog Workbook 9,Donald Knuth,13
10632,Intro to Algorithms Workbook 9,Thomas Cormen,82
10633,Clean Code Workbook 9,Robert Martin,56
10634,Design Patterns Workbook 9,Erich Gamma,14
10635,Effective Java Workbook 9,Joshua Bloch,29
10636,Pragmatic Programmer Workbook 9,Andrew Hunt,25
10637,Building Microservices Workbook 9,Sam Newman,52
10638,OS Concepts Workbook 9,Abraham Silberschatz,7
10639,Learning Python Workbook 9,Mark Lutz,92
10640,Head First Java Workbook 9,Kathy Sierra,48
10641,Computer Networks Workbook 9,Andrew Tanenbaum,11
10642,Database Concepts Workbook 9,Abraham Silberschatz,97
10643,Domain Driven Design Workbook 9,Eric Evans,35
10644,Mythical Man Month Workbook 9,Fred Brooks,37
10645,Data Science Workbook 9,Joel Grus,92
10646,Algorithms Workbook 9,Robert Sedgewick,7
10647,Python Crash Course Workbook 9,Eric Matthes,34
10648,Core Java Workbook 9,Cay Horstmann,66
10649,Learning Node Workbook 9,Shelley Powers,30
10650,Fluent Python Workbook 9,Luciano Ramalho,18
10651,Rust Programming Workbook 9,Jim Blandy,36
10652,Go Programming Workbook 9,Alan Donovan,10
10653,Spring in Action Workbook 9,Craig Walls,15
10654,Learning Go Workbook 9,Jon Bodner,35
10655,Designing Data Apps Workbook 9,Martin Kleppmann,99
10656,Effective C Plus Workbook 9,Scott Meyers,77
10657,Eloquent JavaScript Workbook 9,Marijn Haverbeke,79
10658,Clean Coder Workbook 9,Robert Martin,51
10659,Refactoring Workbook 9,Martin Fowler,33
10660,Clean Architecture Workbook 9,Robert Martin,39
10661,Docker Up Workbook 9,Karl Matthias,9
10662,Kubernetes Up Workbook 9,Brendan Burns,34
10663,Code Complete Workbook 9,Steve McConnell,24
10664,Site Reliability Workbook 9,Betsy Beyer,42
10665,Cloud Native Java Workbook 9,Josh Long,73
10666,Flask Web Dev Workbook 9,Miguel Grinberg,29
10667,Deep Learning Workbook 9,Ian Goodfellow,7
10668,Machine Learning Workbook 9,Aurelien Geron,98
10669,Grokking Algorithms Workbook 9,Aditya Bhargava,82
10670,Linux Command Line Workbook 9,William Shotts,12
10671,Pro Git Workbook 9,Scott Chacon,98
10672,UNIX Network Prog Workbook 9,Richard Stevens,15
10673,Programming Pearls Workbook 9,Jon Bentley,40
10674,Black Hat Python Workbook 9,Justin Seitz,63
10675,Pattern Recognition Workbook 9,Christopher Bishop,91
10676,Artificial Intelligence Workbook 9,Stuart Russell,74
10677,The Prince Workbook 9,Niccolo Machiavelli,21
10678,Pride and Prejudice Workbook 9,Jane Austen,46
10679,Animal Farm Workbook 9,George Orwell,84
10680,Great Gatsby Workbook 9,F Scott Fitzgerald,86
10681,Harry Potter One Workbook 9,JK Rowling,16
10682,Game of Thrones Workbook 9,George RR Martin,16
10683,The Hobbit Workbook 9,JRR Tolkien,51
10684,Atomic Habits Workbook 9,James Clear,98
10685,Deep Work Workbook 9,Cal Newport,94
10686,Computer Graphics Workbook 9,Donald Hearn,78
10687,Compiler Design Workbook 9,Alfred Aho,69
10688,Cryptography Workbook 9,Bruce Schneier,21
10689,Network Security Workbook 9,William Stallings,56
10690,Discrete Mathematics Workbook 9,Kenneth Rosen,4
10691,Linear Algebra Workbook 9,Gilbert Strang,4
10692,Calculus Workbook 9,James Stewart,27
10693,Computer Vision Workbook 9,Richard Szeliski,94
10694,Reinforcement Learning Workbook 9,Richard Sutton,69
10695,Distributed Systems Workbook 9,Maarten van Steen,45
10696,Software Engineering Workbook 9,Ian Sommerville,92
10697,Data Mining Workbook 9,Jiawei Han,7
10698,Cloud Computing Workbook 9,Rajkumar Buyya,30
10699,Operating Systems Workbook 9,Thomas Anderson,86
10700,C Programming Reference 10,Brian Kernighan,38
10701,Art of Comp Prog Reference 10,Donald Knuth,52
10702,Intro to Algorithms Reference 10,Thomas Cormen,64
10703,Clean Code Reference 10,Robert Martin,49
10704,Design Patterns Reference 10,Erich Gamma,29
10705,Effective Java Reference 10,Joshua Bloch,50
10706,Pragmatic Programmer Reference 10,Andrew Hunt,89
10707,Building Microservices Reference 10,Sam Newman,67
10708,OS Concepts Reference 10,Abraham Silberschatz,6
10709,Learning Python Reference 10,Mark Lutz,97
10710,Head First Java Reference 10,Kathy Sierra,39
10711,Computer Networks Reference 10,Andrew Tanenbaum,77
10712,Database Concepts Reference 10,Abraham Silberschatz,45
10713,Domain Driven Design Reference 10,Eric Evans,52
10714,Mythical Man Month Reference 10,Fred Brooks,86
10715,Data Science Reference 10,Joel Grus,24
10716,Algorithms Reference 10,Robert Sedgewick,56
10717,Python Crash Course Reference 10,Eric Matthes,23
10718,Core Java Reference 10,Cay Horstmann,84
10719,Learning Node Reference 10,Shelley Powers,67
10720,Fluent Python Reference 10,Luciano Ramalho,99
10721,Rust Programming Reference 10,Jim Blandy,0
10722,Go Programming Reference 10,Alan Donovan,63
10723,Spring in Action Reference 10,Craig Walls,7
10724,Learning Go Reference 10,Jon Bodner,53
10725,Designing Data Apps Reference 10,Martin Kleppmann,28
10726,Effective C Plus Reference 10,Scott Meyers,9
10727,Eloquent JavaScript Reference 10,Marijn Haverbeke,94
10728,Clean Coder Reference 10,Robert Martin,56
10729,Refactoring Reference 10,Martin Fowler,67
10730,Clean Architecture Reference 10,Robert Martin,36
10731,Docker Up Reference 10,Karl Matthias,49
10732,Kubernetes Up Reference 10,Brendan Burns,15
10733,Code Complete Reference 10,Steve McConnell,58
10734,Site Reliability Reference 10,Betsy Beyer,58
10735,Cloud Native Java Reference 10,Josh Long,38
10736,Flask Web Dev Reference 10,Miguel Grinberg,65
10737,Deep Learning Reference 10,Ian Goodfellow,32
10738,Machine Learning Reference 10,Aurelien Geron,30
10739,Grokking Algorithms Reference 10,Aditya Bhargava,44
10740,Linux Command Line Reference 10,William Shotts,17
10741,Pro Git Reference 10,Scott Chacon,95
10742,UNIX Network Prog Reference 10,Richard Stevens,44
10743,Programming Pearls Reference 10,Jon Bentley,79
10744,Black Hat Python Reference 10,Justin Seitz,47
10745,Pattern Recognition Reference 10,Christopher Bishop,28
10746,Artificial Intelligence Reference 10,Stuart Russell,26
10747,The Prince Reference 10,Niccolo Machiavelli,34
10748,Pride and Prejudice Reference 10,Jane Austen,88
10749,Animal Farm Reference 10,George Orwell,52
10750,Great Gatsby Reference 10,F Scott Fitzgerald,77
10751,Harry Potter One Reference 10,JK Rowling,50
10752,Game of Thrones Reference 10,George RR Martin,27
10753,The Hobbit Reference 10,JRR Tolkien,43
10754,Atomic Habits Reference 10,James Clear,54
10755,Deep Work Reference 10,Cal Newport,4
10756,Computer Graphics Reference 10,Donald Hearn,50
10757,Compiler Design Reference 10,Alfred Aho,54
10758,Cryptography Reference 10,Bruce Schneier,91
10759,Network Security Reference 10,William Stallings,83
10760,Discrete Mathematics Reference 10,Kenneth Rosen,82
10761,Linear Algebra Reference 10,Gilbert Strang,97
10762,Calculus Reference 10,James Stewart,44
10763,Computer Vision Reference 10,Richard Szeliski,77
10764,Reinforcement Learning Reference 10,Richard Sutton,0
10765,Distributed Systems Reference 10,Maarten van Steen,86
10766,Software Engineering Reference 10,Ian Sommerville,66
10767,Data Mining Reference 10,Jiawei Han,9
10768,Cloud Computing Reference 10,Rajkumar Buyya,29
10769,Operating Systems Reference 10,Thomas Anderson,63
10770,C Programming Vol One 11,Brian Kernighan,48
10771,Art of Comp Prog Vol One 11,Donald Knuth,47
10772,Intro to Algorithms Vol One 11,Thomas Cormen,27
10773,Clean Code Vol One 11,Robert Martin,30
10774,Design Patterns Vol One 11,Erich Gamma,92
10775,Effective Java Vol One 11,Joshua Bloch,8
10776,Pragmatic Programmer Vol One 11,Andrew Hunt,81
10777,Building Microservices Vol One 11,Sam Newman,44
10778,OS Concepts Vol One 11,Abraham Silberschatz,46
10779,Learning Python Vol One 11,Mark Lutz,69
10780,Head First Java Vol One 11,Kathy Sierra,13
10781,Computer Networks Vol One 11,Andrew Tanenbaum,58
10782,Database Concepts Vol One 11,Abraham Silberschatz,48
10783,Domain Driven Design Vol One 11,Eric Evans,6
10784,Mythical Man Month Vol One 11,Fred Brooks,44
10785,Data Science Vol One 11,Joel Grus,90
10786,Algorithms Vol One 11,Robert Sedgewick,79
10787,Python Crash Course Vol One 11,Eric Matthes,88
10788,Core Java Vol One 11,Cay Horstmann,75
10789,Learning Node Vol One 11,Shelley Powers,94
10790,Fluent Python Vol One 11,Luciano Ramalho,66
10791,Rust Programming Vol One 11,Jim Blandy,84
10792,Go Programming Vol One 11,Alan Donovan,97
10793,Spring in Action Vol One 11,Craig Walls,98
10794,Learning Go Vol One 11,Jon Bodner,49
10795,Designing Data Apps Vol One 11,Martin Kleppmann,69
10796,Effective C Plus Vol One 11,Scott Meyers,46
10797,Eloquent JavaScript Vol One 11,Marijn Haverbeke,24
10798,Clean Coder Vol One 11,Robert Martin,39
10799,Refactoring Vol One 11,Martin Fowler,99
10800,Clean Architecture Vol One 11,Robert Martin,65
10801,Docker Up Vol One 11,Karl Matthias,25
10802,Kubernetes Up Vol One 11,Brendan Burns,25
10803,Code Complete Vol One 11,Steve McConnell,73
10804,Site Reliability Vol One 11,Betsy Beyer,23
10805,Cloud Native Java Vol One 11,Josh Long,30
10806,Flask Web Dev Vol One 11,Miguel Grinberg,6
10807,Deep Learning Vol One 11,Ian Goodfellow,20
10808,Machine Learning Vol One 11,Aurelien Geron,56
10809,Grokking Algorithms Vol One 11,Aditya Bhargava,44
10810,Linux Command Line Vol One 11,William Shotts,18
10811,Pro Git Vol One 11,Scott Chacon,13
10812,UNIX Network Prog Vol One 11,Richard Stevens,11
10813,Programming Pearls Vol One 11,Jon Bentley,18
10814,Black Hat Python Vol One 11,Justin Seitz,49
10815,Pattern Recognition Vol One 11,Christopher Bishop,21
10816,Artificial Intelligence Vol One 11,Stuart Russell,22
10817,The Prince Vol One 11,Niccolo Machiavelli,37
10818,Pride and Prejudice Vol One 11,Jane Austen,40
10819,Animal Farm Vol One 11,George Orwell,45
10820,Great Gatsby Vol One 11,F Scott Fitzgerald,13
10821,Harry Potter One Vol One 11,JK Rowling,100
10822,Game of Thrones Vol One 11,George RR Martin,77
10823,The Hobbit Vol One 11,JRR Tolkien,77
10824,Atomic Habits Vol One 11,James Clear,41
10825,Deep Work Vol One 11,Cal Newport,84
10826,Computer Graphics Vol One 11,Donald Hearn,90
10827,Compiler Design Vol One 11,Alfred Aho,7
10828,Cryptography Vol One 11,Bruce Schneier,77
10829,Network Security Vol One 11,William Stallings,37
10830,Discrete Mathematics Vol One 11,Kenneth Rosen,93
10831,Linear Algebra Vol One 11,Gilbert Strang,44
10832,Calculus Vol One 11,James Stewart,51
10833,Computer Vision Vol One 11,Richard Szeliski,61
10834,Reinforcement Learning Vol One 11,Richard Sutton,18
10835,Distributed Systems Vol One 11,Maarten van Steen,29
10836,Software Engineering Vol One 11,Ian Sommerville,59
10837,Data Mining Vol One 11,Jiawei Han,23
10838,Cloud Computing Vol One 11,Rajkumar Buyya,40
10839,Operating Systems Vol One 11,Thomas Anderson,43
10840,C Programming Vol Two 12,Brian Kernighan,5
10841,Art of Comp Prog Vol Two 12,Donald Knuth,48
10842,Intro to Algorithms Vol Two 12,Thomas Cormen,9
10843,Clean Code Vol Two 12,Robert Martin,77
10844,Design Patterns Vol Two 12,Erich Gamma,62
10845,Effective Java Vol Two 12,Joshua Bloch,20
10846,Pragmatic Programmer Vol Two 12,Andrew Hunt,71
10847,Building Microservices Vol Two 12,Sam Newman,66
10848,OS Concepts Vol Two 12,Abraham Silberschatz,66
10849,Learning Python Vol Two 12,Mark Lutz,27
10850,Head First Java Vol Two 12,Kathy Sierra,17
10851,Computer Networks Vol Two 12,Andrew Tanenbaum,59
10852,Database Concepts Vol Two 12,Abraham Silberschatz,37
10853,Domain Driven Design Vol Two 12,Eric Evans,28
10854,Mythical Man Month Vol Two 12,Fred Brooks,75
10855,Data Science Vol Two 12,Joel Grus,22
10856,Algorithms Vol Two 12,Robert Sedgewick,75
10857,Python Crash Course Vol Two 12,Eric Matthes,38
10858,Core Java Vol Two 12,Cay Horstmann,43
10859,Learning Node Vol Two 12,Shelley Powers,82
10860,Fluent Python Vol Two 12,Luciano Ramalho,100
10861,Rust Programming Vol Two 12,Jim Blandy,12
10862,Go Programming Vol Two 12,Alan Donovan,27
10863,Spring in Action Vol Two 12,Craig Walls,48
10864,Learning Go Vol Two 12,Jon Bodner,43
10865,Designing Data Apps Vol Two 12,Martin Kleppmann,82
10866,Effective C Plus Vol Two 12,Scott Meyers,53
10867,Eloquent JavaScript Vol Two 12,Marijn Haverbeke,25
10868,Clean Coder Vol Two 12,Robert Martin,91
10869,Refactoring Vol Two 12,Martin Fowler,24
10870,Clean Architecture Vol Two 12,Robert Martin,11
10871,Docker Up Vol Two 12,Karl Matthias,90
10872,Kubernetes Up Vol Two 12,Brendan Burns,9
10873,Code Complete Vol Two 12,Steve McConnell,78
10874,Site Reliability Vol Two 12,Betsy Beyer,63
10875,Cloud Native Java Vol Two 12,Josh Long,78
10876,Flask Web Dev Vol Two 12,Miguel Grinberg,83
10877,Deep Learning Vol Two 12,Ian Goodfellow,6
10878,Machine Learning Vol Two 12,Aurelien Geron,19
10879,Grokking Algorithms Vol Two 12,Aditya Bhargava,47
10880,Linux Command Line Vol Two 12,William Shotts,0
10881,Pro Git Vol Two 12,Scott Chacon,32
10882,UNIX Network Prog Vol Two 12,Richard Stevens,19
10883,Programming Pearls Vol Two 12,Jon Bentley,70
10884,Black Hat Python Vol Two 12,Justin Seitz,5
10885,Pattern Recognition Vol Two 12,Christopher Bishop,87
10886,Artificial Intelligence Vol Two 12,Stuart Russell,51
10887,The Prince Vol Two 12,Niccolo Machiavelli,81
10888,Pride and Prejudice Vol Two 12,Jane Austen,51
10889,Animal Farm Vol Two 12,George Orwell,100
10890,Great Gatsby Vol Two 12,F Scott Fitzgerald,76
10891,Harry Potter One Vol Two 12,JK Rowling,66
10892,Game of Thrones Vol Two 12,George RR Martin,40
10893,The Hobbit Vol Two 12,JRR Tolkien,90
10894,Atomic Habits Vol Two 12,James Clear,0
10895,Deep Work Vol Two 12,Cal Newport,35
10896,Computer Graphics Vol Two 12,Donald Hearn,27
10897,Compiler Design Vol Two 12,Alfred Aho,46
10898,Cryptography Vol Two 12,Bruce Schneier,93
10899,Network Security Vol Two 12,William Stallings,32
10900,Discrete Mathematics Vol Two 12,Kenneth Rosen,79
10901,Linear Algebra Vol Two 12,Gilbert Strang,47
10902,Calculus Vol Two 12,James Stewart,4
10903,Computer Vision Vol Two 12,Richard Szeliski,67
10904,Reinforcement Learning Vol Two 12,Richard Sutton,58
10905,Distributed Systems Vol Two 12,Maarten van Steen,86
10906,Software Engineering Vol Two 12,Ian Sommerville,96
10907,Data Mining Vol Two 12,Jiawei Han,6
10908,Cloud Computing Vol Two 12,Rajkumar Buyya,9
10909,Operating Systems Vol Two 12,Thomas Anderson,11
10910,C Programming Practice 13,Brian Kernighan,38
10911,Art of Comp Prog Practice 13,Donald Knuth,71
10912,Intro to Algorithms Practice 13,Thomas Cormen,31
10913,Clean Code Practice 13,Robert Martin,53
10914,Design Patterns Practice 13,Erich Gamma,2
10915,Effective Java Practice 13,Joshua Bloch,34
10916,Pragmatic Programmer Practice 13,Andrew Hunt,45
10917,Building Microservices Practice 13,Sam Newman,19
10918,OS Concepts Practice 13,Abraham Silberschatz,68
10919,Learning Python Practice 13,Mark Lutz,74
10920,Head First Java Practice 13,Kathy Sierra,66
10921,Computer Networks Practice 13,Andrew Tanenbaum,17
10922,Database Concepts Practice 13,Abraham Silberschatz,88
10923,Domain Driven Design Practice 13,Eric Evans,88
10924,Mythical Man Month Practice 13,Fred Brooks,83
10925,Data Science Practice 13,Joel Grus,90
10926,Algorithms Practice 13,Robert Sedgewick,27
10927,Python Crash Course Practice 13,Eric Matthes,82
10928,Core Java Practice 13,Cay Horstmann,11
10929,Learning Node Practice 13,Shelley Powers,75
10930,Fluent Python Practice 13,Luciano Ramalho,1
10931,Rust Programming Practice 13,Jim Blandy,19
10932,Go Programming Practice 13,Alan Donovan,81
10933,Spring in Action Practice 13,Craig Walls,46
10934,Learning Go Practice 13,Jon Bodner,26
10935,Designing Data Apps Practice 13,Martin Kleppmann,25
10936,Effective C Plus Practice 13,Scott Meyers,68
10937,Eloquent JavaScript Practice 13,Marijn Haverbeke,51
10938,Clean Coder Practice 13,Robert Martin,21
10939,Refactoring Practice 13,Martin Fowler,48
10940,Clean Architecture Practice 13,Robert Martin,11
10941,Docker Up Practice 13,Karl Matthias,37
10942,Kubernetes Up Practice 13,Brendan Burns,54
10943,Code Complete Practice 13,Steve McConnell,4
10944,Site Reliability Practice 13,Betsy Beyer,12
10945,Cloud Native Java Practice 13,Josh Long,77
10946,Flask Web Dev Practice 13,Miguel Grinberg,78
10947,Deep Learning Practice 13,Ian Goodfellow,57
10948,Machine Learning Practice 13,Aurelien Geron,84
10949,Grokking Algorithms Practice 13,Aditya Bhargava,92
10950,Linux Command Line Practice 13,William Shotts,69
10951,Pro Git Practice 13,Scott Chacon,1
10952,UNIX Network Prog Practice 13,Richard Stevens,28
10953,Programming Pearls Practice 13,Jon Bentley,46
10954,Black Hat Python Practice 13,Justin Seitz,49
10955,Pattern Recognition Practice 13,Christopher Bishop,25
10956,Artificial Intelligence Practice 13,Stuart Russell,64
10957,The Prince Practice 13,Niccolo Machiavelli,83
10958,Pride and Prejudice Practice 13,Jane Austen,22
10959,Animal Farm Practice 13,George Orwell,74
10960,Great Gatsby Practice 13,F Scott Fitzgerald,79
10961,Harry Potter One Practice 13,JK Rowling,0
10962,Game of Thrones Practice 13,George RR Martin,62
10963,The Hobbit Practice 13,JRR Tolkien,88
10964,Atomic Habits Practice 13,James Clear,49
10965,Deep Work Practice 13,Cal Newport,75
10966,Computer Graphics Practice 13,Donald Hearn,41
10967,Compiler Design Practice 13,Alfred Aho,39
10968,Cryptography Practice 13,Bruce Schneier,38
10969,Network Security Practice 13,William Stallings,59
10970,Discrete Mathematics Practice 13,Kenneth Rosen,37
10971,Linear Algebra Practice 13,Gilbert Strang,3
10972,Calculus Practice 13,James Stewart,90
10973,Computer Vision Practice 13,Richard Szeliski,74
10974,Reinforcement Learning Practice 13,Richard Sutton,74
10975,Distributed Systems Practice 13,Maarten van Steen,45
10976,Software Engineering Practice 13,Ian Sommerville,64
10977,Data Mining Practice 13,Jiawei Han,31
10978,Cloud Computing Practice 13,Rajkumar Buyya,87
10979,Operating Systems Practice 13,Thomas Anderson,59
10980,C Programming Examples 14,Brian Kernighan,86
10981,Art of Comp Prog Examples 14,Donald Knuth,19
10982,Intro to Algorithms Examples 14,Thomas Cormen,32
10983,Clean Code Examples 14,Robert Martin,6
10984,Design Patterns Examples 14,Erich Gamma,22
10985,Effective Java Examples 14,Joshua Bloch,62
10986,Pragmatic Programmer Examples 14,Andrew Hunt,72
10987,Building Microservices Examples 14,Sam Newman,15
10988,OS Concepts Examples 14,Abraham Silberschatz,86
10989,Learning Python Examples 14,Mark Lutz,74
10990,Head First Java Examples 14,Kathy Sierra,25
10991,Computer Networks Examples 14,Andrew Tanenbaum,6
10992,Database Concepts Examples 14,Abraham Silberschatz,96
10993,Domain Driven Design Examples 14,Eric Evans,47
10994,Mythical Man Month Examples 14,Fred Brooks,43
10995,Data Science Examples 14,Joel Grus,31
10996,Algorithms Examples 14,Robert Sedgewick,39
10997,Python Crash Course Examples 14,Eric Matthes,24
10998,Core Java Examples 14,Cay Horstmann,89
10999,Learning Node Examples 14,Shelley Powers,38
